title,description
E01 - React Basics,[Exercise link to teacher's material ](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/01.-exercise01/)
E02 - Calculator,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/02.-exercise02/)
E03 - Todo,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/03.-exercise03/)
E04 - Movies,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/04.-exercise04/)
E05 - Movies 2,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/05.-exercise05/)
E06 - Weather Forecast,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/06.-exercise06/)
E07 - My Places,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/07.-exercise07/)
E08 - Launch a Map,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/08.-exercise08/)
E09 - Todo with database,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/09.-exercise09/)
E10 - Native Module,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/10.-exercise10/)
E11 - Building Standalone Apps,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/11.-exercise11/)
E12 - Bitcoin,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/12.-exercise12/)
E13 - ShoppingList,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/13.-exercise13)
E14 - Flutter App 1,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/14.-exercise14/)
E15 - Flutter App 2,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/15.-exercise15/)
E16 - Flutter App 3,[Exercise link to teacher's material](http://mobile.pages.labranet.jamk.fi/mobile-application-development/10.-Exercises/16.-exercise16/)